Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","238","Ethiopia","201","Somalia","5910","Export Quantity","116","Potatoes","2014","2014","tonnes","117409","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","201","Somalia","5910","Export Quantity","116","Potatoes","2015","2015","tonnes","111711","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","201","Somalia","5910","Export Quantity","116","Potatoes","2016","2016","tonnes","460","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","201","Somalia","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","2077","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","201","Somalia","5910","Export Quantity","116","Potatoes","2018","2018","tonnes","11179","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","276","Sudan","5910","Export Quantity","116","Potatoes","2012","2012","tonnes","47","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","276","Sudan","5910","Export Quantity","116","Potatoes","2013","2013","tonnes","15","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","276","Sudan","5910","Export Quantity","116","Potatoes","2014","2014","tonnes","10","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","276","Sudan","5910","Export Quantity","116","Potatoes","2015","2015","tonnes","41","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","276","Sudan","5910","Export Quantity","116","Potatoes","2016","2016","tonnes","24","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","206","Sudan (former)","5910","Export Quantity","116","Potatoes","2007","2007","tonnes","34","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","206","Sudan (former)","5910","Export Quantity","116","Potatoes","2009","2009","tonnes","741","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","206","Sudan (former)","5910","Export Quantity","116","Potatoes","2010","2010","tonnes","925","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","206","Sudan (former)","5910","Export Quantity","116","Potatoes","2011","2011","tonnes","103","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","225","United Arab Emirates","5910","Export Quantity","116","Potatoes","2012","2012","tonnes","4","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","225","United Arab Emirates","5910","Export Quantity","116","Potatoes","2014","2014","tonnes","1","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","225","United Arab Emirates","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","17","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","229","United Kingdom of Great Britain and Northern Ireland","5910","Export Quantity","116","Potatoes","2013","2013","tonnes","0","","Official data"
